sample_offset_s,node,seq,node_us,sync_us,rx_us,yaw_cd,pitch_cd,roll_cd,x_mm,y_mm,z_mm,gaps
0.152396,2,137,30238000,32957000,32963000,331,-451,371,293,19,-397,0
0.158100,1,53,31996000,32963000,32968000,161,319,1,-17,89,407,0
0.162679,2,138,30248000,32967000,32973000,294,-474,354,282,6,-378,0
0.168313,1,54,32006000,32973000,32979000,198,342,18,-6,102,426,0
0.172819,2,139,30259000,32978000,32983000,257,-497,337,271,-7,-359,0
0.178414,1,55,32016000,32982000,32989000,235,365,35,5,115,445,0
0.182975,2,140,30269000,32989000,32993000,220,-520,320,260,-20,-340,0
0.188573,1,56,32026000,32992000,32999000,272,388,52,16,128,464,0
0.193067,2,141,30279000,32999000,33003000,183,-543,303,249,-33,-321,0
0.198737,1,57,32036000,33002000,33009000,309,411,69,27,141,483,0
0.203160,2,142,30289000,33009000,33013000,146,-566,286,238,-46,-302,0
0.208925,1,58,32047000,33013000,33019000,346,434,86,38,154,502,0
0.213342,2,143,30299000,33018000,33023000,109,-589,269,227,-59,-283,0
0.219045,1,59,32057000,33023000,33029000,383,457,103,49,167,521,0
0.223435,2,144,30309000,33028000,33034000,72,-612,252,216,-72,-264,0
0.229086,1,60,32067000,33033000,33039000,420,480,120,60,180,540,0
0.233621,2,145,30319000,33038000,33044000,35,-635,235,205,-85,-245,0
0.239239,1,61,32077000,33044000,33049000,457,503,137,71,193,559,0
0.243704,2,146,30330000,33049000,33054000,-2,-658,218,194,-98,-226,0
0.249298,1,62,32087000,33053000,33060000,494,526,154,82,206,578,0
0.253783,2,147,30340000,33059000,33064000,-39,-681,201,183,-111,-207,0
0.259703,1,63,32097000,33063000,33070000,531,549,171,93,219,597,0
0.264005,2,148,30350000,33070000,33074000,-76,-704,184,172,-124,-188,0
0.269692,1,64,32107000,33073000,33080000,568,572,188,104,232,584,0
0.274096,2,149,30360000,33080000,33084000,-113,-727,167,161,-137,-169,0
0.279791,1,65,32117000,33083000,33090000,605,595,205,115,245,565,0
0.284148,2,150,30370000,33090000,33094000,-150,-750,150,150,-150,-150,0
0.290003,1,66,32128000,33094000,33100000,642,618,222,126,258,546,0
0.294326,2,151,30380000,33099000,33104000,-187,-773,133,139,-163,-131,0
0.300198,1,67,32138000,33104000,33110000,679,641,239,137,271,527,0
0.304334,2,152,30390000,33109000,33115000,-224,-796,116,128,-176,-112,0
0.310153,1,68,32148000,33114000,33120000,716,664,256,148,284,508,0
0.314563,2,153,30400000,33119000,33125000,-261,-819,99,117,-189,-93,0
0.320383,1,69,32158000,33125000,33130000,753,687,273,159,297,489,0
0.324756,2,154,30411000,33130000,33135000,-298,-842,82,106,-202,-74,0
0.330315,1,70,32168000,33134000,33141000,790,710,290,170,310,470,0
0.334801,2,155,30421000,33140000,33145000,-335,-865,65,95,-215,-55,0
0.340583,1,71,32178000,33144000,33151000,827,733,307,181,323,451,0
0.344873,2,156,30431000,33151000,33155000,-372,-888,48,84,-228,-36,0
0.350683,1,72,32188000,33154000,33161000,864,756,324,192,336,432,0
0.355205,2,157,30441000,33161000,33165000,-409,-889,31,73,-241,-17,0
0.360862,1,73,32199000,33165000,33171000,901,779,341,203,349,413,0
0.365256,2,158,30451000,33170000,33175000,-446,-866,14,62,-254,2,0
0.370990,1,74,32209000,33175000,33181000,938,802,358,214,362,394,0
0.375952,2,159,30462000,33181000,33186000,-483,-843,-3,51,-267,21,0
0.381054,1,75,32219000,33185000,33191000,975,825,375,225,375,375,0
0.386077,2,160,30472000,33191000,33196000,-520,-820,-20,40,-280,40,0
0.391247,1,76,32229000,33196000,33201000,1012,848,392,236,388,356,0
0.396216,2,161,30482000,33201000,33206000,-557,-797,-37,29,-293,59,0
0.401314,1,77,32239000,33206000,33212000,1049,871,409,247,401,337,0
0.406310,2,162,30492000,33210000,33216000,-594,-774,-54,18,-306,78,0
0.412083,1,78,32250000,33216000,33222000,1086,894,426,258,414,318,0
0.416327,2,163,30502000,33221000,33227000,-631,-751,-71,7,-319,97,0
0.422119,1,79,32260000,33226000,33232000,1123,883,443,269,427,299,0
0.426645,2,164,30512000,33231000,33237000,-668,-728,-88,-4,-332,116,0
0.432350,1,80,32270000,33237000,33242000,1160,860,460,280,440,280,0
0.436736,2,165,30523000,33242000,33247000,-705,-705,-105,-15,-345,135,0
0.442370,1,81,32280000,33246000,33253000,1197,837,477,291,453,261,0
0.447054,2,166,30533000,33252000,33257000,-742,-682,-122,-26,-358,154,0
0.452425,1,82,32290000,33256000,33263000,1234,814,494,302,466,242,0
0.457038,2,167,30543000,33263000,33267000,-779,-659,-139,-37,-371,173,0
0.462730,1,83,32300000,33266000,33273000,1271,791,511,313,479,223,0
0.467109,2,168,30553000,33273000,33277000,-816,-636,-156,-48,-384,192,0
0.473723,1,84,32311000,33277000,33283000,1308,768,528,324,492,204,0
0.477283,2,169,30563000,33282000,33287000,-853,-613,-173,-59,-397,211,0
0.482926,1,85,32321000,33287000,33293000,1345,745,545,335,505,185,0
0.487279,2,170,30573000,33292000,33298000,-890,-590,-190,-70,-410,230,0
0.493141,1,86,32331000,33297000,33303000,1382,722,562,346,518,166,0
0.497353,2,171,30583000,33302000,33308000,-927,-567,-207,-81,-423,249,0
0.503252,1,87,32341000,33308000,33313000,1419,699,579,357,531,147,0
0.507594,2,172,30594000,33313000,33318000,-964,-544,-224,-92,-436,268,0
0.513345,1,88,32351000,33318000,33324000,1456,676,596,368,544,128,0
0.517760,2,173,30604000,33323000,33328000,-1001,-521,-241,-103,-449,287,0
0.523362,1,89,32361000,33327000,33334000,1493,653,613,379,557,109,0
0.527952,2,174,30614000,33334000,33338000,-1038,-498,-258,-114,-462,306,0
0.533821,1,90,32371000,33337000,33344000,1530,630,630,390,570,90,0
0.538011,2,175,30624000,33344000,33348000,-1075,-475,-275,-125,-475,325,0
0.543793,1,91,32381000,33347000,33354000,1567,607,647,401,583,71,0
0.548187,2,176,30634000,33354000,33358000,-1112,-452,-292,-136,-488,344,0
0.553982,1,92,32392000,33358000,33364000,1604,584,664,412,596,52,0
0.558397,2,177,30644000,33363000,33368000,-1149,-429,-309,-147,-501,363,0
0.563972,1,93,32402000,33368000,33374000,1641,561,681,423,591,33,0
0.568333,2,178,30654000,33373000,33379000,-1186,-406,-326,-158,-514,382,0
0.574062,1,94,32412000,33378000,33384000,1678,538,698,434,578,14,0
0.578539,2,179,30664000,33383000,33389000,-1223,-383,-343,-169,-527,401,0
0.584285,1,95,32422000,33389000,33394000,1715,515,715,445,565,-5,0
0.588731,2,180,30675000,33394000,33399000,-1260,-360,-360,-180,-540,420,0
0.594216,1,96,32432000,33398000,33405000,1752,492,732,456,552,-24,0
0.599069,2,181,30685000,33404000,33409000,-1297,-337,-377,-191,-553,439,0
0.604539,1,97,32442000,33408000,33415000,1789,469,749,467,539,-43,0
0.608979,2,182,30695000,33415000,33419000,-1334,-314,-394,-202,-566,458,0
0.614713,1,98,32452000,33418000,33425000,1774,446,766,478,526,-62,0
0.619146,2,183,30705000,33425000,33429000,-1371,-291,-411,-213,-579,477,0
0.624905,1,99,32463000,33429000,33435000,1737,423,783,489,513,-81,0
0.629887,2,184,30716000,33436000,33440000,-1408,-268,-428,-224,-592,496,0
0.634996,1,100,32473000,33439000,33445000,1700,400,800,500,500,-100,0
0.639948,2,185,30726000,33445000,33450000,-1445,-245,-445,-235,-595,515,0
0.645086,1,101,32483000,33450000,33455000,1663,377,817,511,487,-119,0
0.650098,2,186,30736000,33455000,33460000,-1482,-222,-462,-246,-582,534,0
0.655219,1,102,32493000,33460000,33465000,1626,354,834,522,474,-138,0
0.660270,2,187,30746000,33465000,33470000,-1519,-199,-479,-257,-569,553,0
0.665923,1,103,32504000,33471000,33476000,1589,331,851,533,461,-157,0
0.670392,2,188,30756000,33474000,33480000,-1556,-176,-496,-268,-556,572,0
0.676052,1,104,32514000,33480000,33486000,1552,308,868,544,448,-176,0
0.680325,2,189,30766000,33485000,33491000,-1593,-153,-513,-279,-543,591,0
0.686196,1,105,32524000,33490000,33496000,1515,285,885,555,435,-195,0
0.690542,2,190,30776000,33495000,33501000,-1630,-130,-530,-290,-530,590,0
0.696288,1,106,32534000,33501000,33506000,1478,262,898,566,422,-214,0
0.700715,2,191,30787000,33506000,33511000,-1667,-107,-547,-301,-517,571,0
0.706371,1,107,32544000,33510000,33517000,1441,239,881,577,409,-233,0
0.711067,2,192,30797000,33516000,33521000,-1704,-84,-564,-312,-504,552,0
0.717203,1,108,32554000,33520000,33527000,1404,216,864,588,396,-252,0
0.721240,2,193,30807000,33527000,33531000,-1741,-61,-581,-323,-491,533,0
0.727212,1,109,32564000,33530000,33537000,1367,193,847,599,383,-271,0
0.731402,2,194,30817000,33537000,33541000,-1778,-38,-598,-334,-478,514,0
0.737076,1,110,32575000,33541000,33547000,1330,170,830,590,370,-290,0
0.741476,2,195,30827000,33546000,33551000,-1785,-15,-615,-345,-465,495,0
0.747225,1,111,32585000,33551000,33557000,1293,147,813,579,357,-309,0
0.751785,2,196,30837000,33556000,33562000,-1748,8,-632,-356,-452,476,0
0.757000,1,112,32595000,33561000,33567000,1256,124,796,568,344,-328,0
0.761341,2,197,30847000,33566000,33572000,-1711,31,-649,-367,-439,457,0
0.767168,1,113,32605000,33572000,33577000,1219,101,779,557,331,-347,0
0.771393,2,198,30858000,33577000,33582000,-1674,54,-666,-378,-426,438,0
0.777215,1,114,32615000,33582000,33588000,1182,78,762,546,318,-366,0
0.781712,2,199,30868000,33587000,33592000,-1637,77,-683,-389,-413,419,0
0.787344,1,115,32625000,33591000,33598000,1145,55,745,535,305,-385,0
0.791819,2,200,30878000,33598000,33602000,-1600,100,-700,-400,-400,400,0
0.797520,1,116,32635000,33601000,33608000,1108,32,728,524,292,-404,0
0.801887,2,201,30888000,33608000,33612000,-1563,123,-717,-411,-387,381,0
0.807751,1,117,32645000,33611000,33618000,1071,9,711,513,279,-423,0
0.812170,2,202,30898000,33618000,33622000,-1526,146,-734,-422,-374,362,0
0.817890,1,118,32656000,33622000,33628000,1034,-14,694,502,266,-442,0
0.822165,2,203,30908000,33627000,33632000,-1489,169,-751,-433,-361,343,0
0.827993,1,119,32666000,33632000,33638000,997,-37,677,491,253,-461,0
0.832285,2,204,30918000,33637000,33643000,-1452,192,-768,-444,-348,324,0
0.838011,1,120,32676000,33642000,33648000,960,-60,660,480,240,-480,0
0.842395,2,205,30928000,33647000,33653000,-1415,215,-785,-455,-335,305,0
0.848125,1,121,32686000,33653000,33658000,923,-83,643,469,227,-499,0
0.852643,2,206,30939000,33658000,33663000,-1378,238,-802,-466,-322,286,0
0.858388,1,122,32696000,33662000,33669000,886,-106,626,458,214,-518,0
0.862893,2,207,30949000,33668000,33673000,-1341,261,-819,-477,-309,267,0
0.868331,1,123,32706000,33672000,33679000,849,-129,609,447,201,-537,0
0.872983,2,208,30959000,33679000,33683000,-1304,284,-836,-488,-296,248,0
0.878784,1,124,32716000,33682000,33689000,812,-152,592,436,188,-556,0
0.883557,2,209,30970000,33690000,33694000,-1267,307,-853,-499,-283,229,0
0.888699,1,125,32726000,33692000,33699000,775,-175,575,425,175,-575,0
0.893796,2,210,30980000,33699000,33704000,-1230,330,-870,-510,-270,210,0
0.898924,1,126,32737000,33704000,33709000,738,-198,558,414,162,-594,0
0.903871,2,211,30990000,33709000,33714000,-1193,353,-887,-521,-257,191,0
0.909057,1,127,32747000,33714000,33719000,701,-221,541,403,149,-587,0
0.913921,2,212,31000000,33719000,33724000,-1156,376,-896,-532,-244,172,0
0.919765,1,128,32757000,33724000,33730000,664,-244,524,392,136,-568,0
0.924135,2,213,31010000,33729000,33734000,-1119,399,-879,-543,-231,153,0
0.929811,1,129,32768000,33734000,33740000,627,-267,507,381,123,-549,0
0.934279,2,214,31020000,33739000,33744000,-1082,422,-862,-554,-218,134,0
0.939992,1,130,32778000,33744000,33750000,590,-290,490,370,110,-530,0
0.944317,2,215,31030000,33749000,33755000,-1045,445,-845,-565,-205,115,0
0.950018,1,131,32788000,33754000,33760000,553,-313,473,359,97,-511,0
0.954523,2,216,31040000,33759000,33765000,-1008,468,-828,-576,-192,96,0
0.960149,1,132,32798000,33765000,33770000,516,-336,456,348,84,-492,0
0.964684,2,217,31051000,33770000,33775000,-971,491,-811,-587,-179,77,0
0.970294,1,133,32808000,33774000,33781000,479,-359,439,337,71,-473,0
0.974804,2,218,31061000,33780000,33785000,-934,514,-794,-598,-166,58,0
0.981414,1,134,32818000,33784000,33791000,442,-382,422,326,58,-454,0
0.984911,2,219,31071000,33791000,33795000,-897,537,-777,-591,-153,39,0
0.990614,1,135,32828000,33794000,33801000,405,-405,405,315,45,-435,0
0.995077,2,220,31081000,33801000,33805000,-860,560,-760,-580,-140,20,0
1.000747,1,136,32838000,33804000,33811000,368,-428,388,304,32,-416,0
1.005133,2,221,31091000,33810000,33815000,-823,583,-743,-569,-127,1,0
1.010842,1,137,32849000,33815000,33821000,331,-451,371,293,19,-397,0
1.015292,2,222,31101000,33820000,33825000,-786,606,-726,-558,-114,-18,0
1.020952,1,138,32859000,33825000,33831000,294,-474,354,282,6,-378,0
1.025309,2,223,31111000,33830000,33836000,-749,629,-709,-547,-101,-37,0
1.031163,1,139,32869000,33835000,33841000,257,-497,337,271,-7,-359,0
1.035538,2,224,31121000,33840000,33846000,-712,652,-692,-536,-88,-56,0
1.041261,1,140,32879000,33846000,33851000,220,-520,320,260,-20,-340,0
1.045630,2,225,31132000,33851000,33856000,-675,675,-675,-525,-75,-75,0
1.051340,1,141,32889000,33855000,33862000,183,-543,303,249,-33,-321,0
1.055891,2,226,31142000,33861000,33866000,-638,698,-658,-514,-62,-94,0
1.061468,1,142,32899000,33865000,33872000,146,-566,286,238,-46,-302,0
1.065866,2,227,31152000,33872000,33876000,-601,721,-641,-503,-49,-113,0
1.071554,1,143,32909000,33875000,33882000,109,-589,269,227,-59,-283,0
1.076172,2,228,31162000,33882000,33886000,-564,744,-624,-492,-36,-132,0
1.081798,1,144,32920000,33886000,33892000,72,-612,252,216,-72,-264,0
1.086202,2,229,31172000,33891000,33896000,-527,767,-607,-481,-23,-151,0
1.091976,1,145,32930000,33896000,33902000,35,-635,235,205,-85,-245,0
1.096402,2,230,31182000,33901000,33907000,-490,790,-590,-470,-10,-170,0
1.102028,1,146,32940000,33906000,33912000,-2,-658,218,194,-98,-226,0
1.106363,2,231,31192000,33911000,33917000,-453,813,-573,-459,3,-189,0
1.112122,1,147,32950000,33917000,33922000,-39,-681,201,183,-111,-207,0
1.116619,2,232,31203000,33922000,33927000,-416,836,-556,-448,16,-208,0
1.122290,1,148,32960000,33927000,33933000,-76,-704,184,172,-124,-188,0
1.126651,2,233,31213000,33932000,33937000,-379,859,-539,-437,29,-227,0
1.132679,1,149,32970000,33936000,33943000,-113,-727,167,161,-137,-169,0
1.137341,2,234,31223000,33943000,33948000,-342,882,-522,-426,42,-246,0
1.142677,1,150,32980000,33946000,33953000,-150,-750,150,150,-150,-150,0
1.147436,2,235,31233000,33952000,33958000,-305,895,-505,-415,55,-265,0
1.152783,1,151,32990000,33957000,33963000,-187,-773,133,139,-163,-131,0
1.157726,2,236,31244000,33963000,33968000,-268,872,-488,-404,68,-284,0
1.162911,1,152,33001000,33968000,33973000,-224,-796,116,128,-176,-112,0
1.167757,2,237,31254000,33973000,33978000,-231,849,-471,-393,81,-303,0
1.173623,1,153,33011000,33978000,33984000,-261,-819,99,117,-189,-93,0
1.177989,2,238,31264000,33983000,33988000,-194,826,-454,-382,94,-322,0
1.183729,1,154,33021000,33987000,33994000,-298,-842,82,106,-202,-74,0
1.188068,2,239,31274000,33994000,33998000,-157,803,-437,-371,107,-341,0
1.193846,1,155,33032000,33998000,34004000,-335,-865,65,95,-215,-55,0
1.198250,2,240,31284000,34003000,34008000,-120,780,-420,-360,120,-360,0
1.203986,1,156,33042000,34008000,34014000,-372,-888,48,84,-228,-36,0
1.208352,2,241,31294000,34013000,34019000,-83,757,-403,-349,133,-379,0
1.214094,1,157,33052000,34018000,34024000,-409,-889,31,73,-241,-17,0
1.218411,2,242,31304000,34023000,34029000,-46,734,-386,-338,146,-398,0
1.224160,1,158,33062000,34029000,34034000,-446,-866,14,62,-254,2,0
1.228594,2,243,31315000,34034000,34039000,-9,711,-369,-327,159,-417,0
1.234366,1,159,33072000,34039000,34045000,-483,-843,-3,51,-267,21,0
1.238807,2,244,31325000,34044000,34049000,28,688,-352,-316,172,-436,0
1.244419,1,160,33082000,34048000,34055000,-520,-820,-20,40,-280,40,0
1.248912,2,245,31335000,34055000,34059000,65,665,-335,-305,185,-455,0
1.254622,1,161,33092000,34058000,34065000,-557,-797,-37,29,-293,59,0
1.259078,2,246,31345000,34065000,34069000,102,642,-318,-294,198,-474,0
1.264797,1,162,33102000,34068000,34075000,-594,-774,-54,18,-306,78,0
1.269164,2,247,31355000,34075000,34079000,139,619,-301,-283,211,-493,0
1.274831,1,163,33113000,34079000,34085000,-631,-751,-71,7,-319,97,0
1.279251,2,248,31365000,34084000,34089000,176,596,-284,-272,224,-512,0
1.284893,1,164,33123000,34089000,34095000,-668,-728,-88,-4,-332,116,0
1.289383,2,249,31375000,34094000,34100000,213,573,-267,-261,237,-531,0
1.295009,1,165,33133000,34099000,34105000,-705,-705,-105,-15,-345,135,0
1.299553,2,250,31385000,34104000,34110000,250,550,-250,-250,250,-550,0
1.305247,1,166,33143000,34110000,34115000,-742,-682,-122,-26,-358,154,0
1.309722,2,251,31396000,34115000,34120000,287,527,-233,-239,263,-569,0
1.315362,1,167,33153000,34119000,34126000,-779,-659,-139,-37,-371,173,0
1.319859,2,252,31406000,34125000,34130000,324,504,-216,-228,276,-588,0
1.325450,1,168,33163000,34129000,34136000,-816,-636,-156,-48,-384,192,0
1.329987,2,253,31416000,34136000,34140000,361,481,-199,-217,289,-593,0
1.335766,1,169,33173000,34139000,34146000,-853,-613,-173,-59,-397,211,0
1.340059,2,254,31426000,34146000,34150000,398,458,-182,-206,302,-574,0
1.345927,1,170,33184000,34150000,34156000,-890,-590,-190,-70,-410,230,0
1.350227,2,255,31436000,34155000,34160000,435,435,-165,-195,315,-555,0
1.356049,1,171,33194000,34160000,34166000,-927,-567,-207,-81,-423,249,0
1.360538,2,0,31446000,34165000,34170000,-1800,-900,-900,-600,-600,-600,0
1.365973,1,172,33204000,34170000,34176000,-964,-544,-224,-92,-436,268,0
1.370318,2,1,31456000,34175000,34181000,-1763,-877,-883,-589,-587,-581,0
1.376118,1,173,33214000,34180000,34186000,-1001,-521,-241,-103,-449,287,0
1.380527,2,2,31467000,34186000,34191000,-1726,-854,-866,-578,-574,-562,0
1.386218,1,174,33224000,34191000,34196000,-1038,-498,-258,-114,-462,306,0
1.391620,2,3,31477000,34196000,34201000,-1689,-831,-849,-567,-561,-543,0
1.396442,1,175,33234000,34200000,34207000,-1075,-475,-275,-125,-475,325,0
1.401404,2,4,31487000,34205000,34212000,-1652,-808,-832,-556,-548,-524,0
1.406561,1,176,33244000,34210000,34217000,-1112,-452,-292,-136,-488,344,0
1.411396,2,5,31497000,34216000,34222000,-1615,-785,-815,-545,-535,-505,0
1.416724,1,177,33254000,34221000,34227000,-1149,-429,-309,-147,-501,363,0
1.421626,2,6,31508000,34227000,34232000,-1578,-762,-798,-534,-522,-486,0
1.427285,1,178,33265000,34232000,34238000,-1186,-406,-326,-158,-514,382,0
1.431993,2,7,31518000,34237000,34242000,-1541,-739,-781,-523,-509,-467,0
1.437347,1,179,33275000,34241000,34248000,-1223,-383,-343,-169,-527,401,0
1.441948,2,8,31528000,34248000,34252000,-1504,-716,-764,-512,-496,-448,0
1.447555,1,180,33285000,34251000,34258000,-1260,-360,-360,-180,-540,420,0
1.452264,2,9,31538000,34258000,34262000,-1467,-693,-747,-501,-483,-429,0
1.457936,1,181,33296000,34262000,34268000,-1297,-337,-377,-191,-553,439,0
1.462179,2,10,31548000,34267000,34272000,-1430,-670,-730,-490,-470,-410,0
1.467887,1,182,33306000,34272000,34278000,-1334,-314,-394,-202,-566,458,0
1.472286,2,11,31558000,34277000,34282000,-1393,-647,-713,-479,-457,-391,0
1.478055,1,183,33316000,34282000,34288000,-1371,-291,-411,-213,-579,477,0
1.482378,2,12,31568000,34287000,34293000,-1356,-624,-696,-468,-444,-372,0
1.489063,1,184,33326000,34292000,34298000,-1408,-268,-428,-224,-592,496,0
1.492432,2,13,31579000,34298000,34303000,-1319,-601,-679,-457,-431,-353,0
1.498511,1,185,33336000,34303000,34308000,-1445,-245,-445,-235,-595,515,0
1.502681,2,14,31589000,34308000,34313000,-1282,-578,-662,-446,-418,-334,0
1.508256,1,186,33346000,34312000,34319000,-1482,-222,-462,-246,-582,534,0
1.512778,2,15,31599000,34318000,34323000,-1245,-555,-645,-435,-405,-315,0
1.518588,1,187,33356000,34322000,34329000,-1519,-199,-479,-257,-569,553,0
1.522950,2,16,31609000,34329000,34333000,-1208,-532,-628,-424,-392,-296,0
1.528722,1,188,33366000,34332000,34339000,-1556,-176,-496,-268,-556,572,0
1.533005,2,17,31619000,34339000,34343000,-1171,-509,-611,-413,-379,-277,0
1.538854,1,189,33377000,34343000,34349000,-1593,-153,-513,-279,-543,591,0
1.543257,2,18,31629000,34348000,34353000,-1134,-486,-594,-402,-366,-258,0
1.549037,1,190,33387000,34353000,34359000,-1630,-130,-530,-290,-530,590,0
1.553273,2,19,31639000,34358000,34364000,-1097,-463,-577,-391,-353,-239,0
1.559082,1,191,33397000,34363000,34369000,-1667,-107,-547,-301,-517,571,0
1.563559,2,20,31649000,34368000,34374000,-1060,-440,-560,-380,-340,-220,0
1.569204,1,192,33407000,34374000,34379000,-1704,-84,-564,-312,-504,552,0
1.573731,2,21,31660000,34379000,34384000,-1023,-417,-543,-369,-327,-201,0
1.579665,1,193,33417000,34383000,34390000,-1741,-61,-581,-323,-491,533,0
1.583801,2,22,31670000,34389000,34394000,-986,-394,-526,-358,-314,-182,0
1.589369,1,194,33427000,34393000,34400000,-1778,-38,-598,-334,-478,514,0
1.593935,2,23,31680000,34400000,34404000,-949,-371,-509,-347,-301,-163,0
1.599619,1,195,33437000,34403000,34410000,-1785,-15,-615,-345,-465,495,0
1.603974,2,24,31690000,34410000,34414000,-912,-348,-492,-336,-288,-144,0
1.609564,1,196,33447000,34413000,34420000,-1748,8,-632,-356,-452,476,0
1.614184,2,25,31700000,34419000,34424000,-875,-325,-475,-325,-275,-125,0
1.619911,1,197,33458000,34424000,34430000,-1711,31,-649,-367,-439,457,0
1.624213,2,26,31710000,34429000,34434000,-838,-302,-458,-314,-262,-106,0
1.630044,1,198,33468000,34434000,34440000,-1674,54,-666,-378,-426,438,0
1.634374,2,27,31720000,34439000,34445000,-801,-279,-441,-303,-249,-87,0
1.640146,1,199,33478000,34444000,34450000,-1637,77,-683,-389,-413,419,0
1.645132,2,28,31731000,34450000,34455000,-764,-256,-424,-292,-236,-68,0
1.650223,1,200,33488000,34455000,34460000,-1600,100,-700,-400,-400,400,0
1.655154,2,29,31741000,34459000,34465000,-727,-233,-407,-281,-223,-49,0
1.660360,1,201,33498000,34464000,34471000,-1563,123,-717,-411,-387,381,0
1.665438,2,30,31751000,34469000,34476000,-690,-210,-390,-270,-210,-30,0
1.670594,1,202,33508000,34474000,34481000,-1526,146,-734,-422,-374,362,0
1.675793,2,31,31761000,34480000,34486000,-653,-187,-373,-259,-197,-11,0
1.681163,1,203,33519000,34486000,34491000,-1489,169,-751,-433,-361,343,0
1.685454,2,32,31772000,34491000,34496000,-616,-164,-356,-248,-184,8,0
1.691322,1,204,33529000,34495000,34502000,-1452,192,-768,-444,-348,324,0
1.695561,2,33,31782000,34501000,34506000,-579,-141,-339,-237,-171,27,0
1.701256,1,205,33539000,34505000,34512000,-1415,215,-785,-455,-335,305,0
1.705705,2,34,31792000,34512000,34516000,-542,-118,-322,-226,-158,46,0
1.711429,1,206,33549000,34515000,34522000,-1378,238,-802,-466,-322,286,0
1.715940,2,35,31802000,34522000,34526000,-505,-95,-305,-215,-145,65,0
1.721693,1,207,33559000,34525000,34532000,-1341,261,-819,-477,-309,267,0
1.726306,2,36,31812000,34531000,34536000,-468,-72,-288,-204,-132,84,0
1.731835,1,208,33570000,34536000,34542000,-1304,284,-836,-488,-296,248,0
1.736228,2,37,31822000,34541000,34546000,-431,-49,-271,-193,-119,103,0
1.741943,1,209,33580000,34546000,34552000,-1267,307,-853,-499,-283,229,0
1.746390,2,38,31832000,34551000,34557000,-394,-26,-254,-182,-106,122,0
1.752089,1,210,33590000,34556000,34562000,-1230,330,-870,-510,-270,210,0
1.756406,2,39,31842000,34561000,34567000,-357,-3,-237,-171,-93,141,0
1.762206,1,211,33600000,34567000,34572000,-1193,353,-887,-521,-257,191,0
1.766636,2,40,31853000,34572000,34577000,-320,20,-220,-160,-80,160,0
1.772444,1,212,33610000,34576000,34583000,-1156,376,-896,-532,-244,172,0
1.776801,2,41,31863000,34582000,34587000,-283,43,-203,-149,-67,179,0
1.782656,1,213,33620000,34586000,34593000,-1119,399,-879,-543,-231,153,0
1.786963,2,42,31873000,34593000,34597000,-246,66,-186,-138,-54,198,0
1.792656,1,214,33630000,34596000,34603000,-1082,422,-862,-554,-218,134,0
1.796971,2,43,31883000,34603000,34607000,-209,89,-169,-127,-41,217,0
1.802794,1,215,33641000,34607000,34613000,-1045,445,-845,-565,-205,115,0
1.807261,2,44,31893000,34612000,34617000,-172,112,-152,-116,-28,236,0
